County,Republican,Democrat,Nonpartisan,Libertarian,Year
Nuckolls,1786,1078,411,0,2010
Otoe,5349,3350,2068,3,2010
Pawnee,1061,618,270,0,2010
Perkins,1320,458,283,0,2010
Phelps,4182,1341,815,0,2010
Pierce,3187,1025,663,0,2010
Platte,10997,5658,2774,6,2010
Polk,2191,908,407,1,2010
Red Willow,4301,1668,1355,4,2010
Richardson,3171,2172,842,1,2010
Rock,829,161,71,0,2010
Saline,2945,3710,1353,4,2010
Sarpy,43651,27183,21894,46,2010
Saunders,7229,4852,2097,3,2010
Scotts Bluff,12738,6817,4306,12,2010
Seward,5846,3272,1778,2,2010
Sheridan,2711,843,557,0,2010
Sherman,935,996,173,0,2010
Sioux,677,125,107,0,2010
Stanton,2516,833,509,0,2010
Thayer,2298,1012,479,0,2010
Thomas,399,75,34,0,2010
Thurston,1323,2511,576,0,2010
Valley,1904,933,340,0,2010
Washington,7612,3695,2628,2,2010
Wayne,3296,1203,804,0,2010
Webster,1511,757,343,1,2010
Wheeler,449,155,50,0,2010
York,7167,2189,1431,2,2010
Adams,10183,5321,3096,54,2012
Antelope,3024,1054,558,3,2012
Arthur,279,44,13,0,2012
Banner,428,46,64,2,2012
Blaine,317,49,27,1,2012
Boone,2408,1098,408,2,2012
Box Butte,3976,2217,1304,19,2012
Boyd,1041,321,135,3,2012
Brown,1640,328,195,0,2012
Buffalo,16191,6561,4870,110,2012
Burt,2472,1603,853,13,2012
Butler,3025,1972,928,9,2012
Cass,8194,5027,3773,53,2012
Cedar,3118,2037,924,9,2012
Chase,1827,451,288,4,2012
Cherry,3088,729,481,1,2012
Cheyenne,4197,1411,1352,22,2012
Clay,2785,964,604,8,2012
Colfax,2325,2220,592,5,2012
Cuming,3619,1418,820,6,2012
Custer,5430,1754,1118,14,2012
Dakota,3676,4275,2404,40,2012
Dawes,3512,1384,1141,13,2012
Dawson,7573,3664,2347,31,2012
Deuel,1043,211,222,1,2012
Dixon,1875,1225,626,5,2012
Dodge,10755,6831,4358,53,2012
Douglas,125307,126902,73777,1057,2012
Dundy,996,195,151,1,2012
Fillmore,2314,1204,635,8,2012
Franklin,1375,573,350,3,2012
Frontier,1317,363,237,1,2012
Furnas,2249,756,509,7,2012
Gage,7000,4576,2660,32,2012
Garden,1156,253,157,5,2012
Garfield,924,214,102,0,2012
Gosper,1022,284,182,1,2012
Grant,379,50,39,0,2012
Greeley,598,963,172,1,2012
Hall,15931,9586,6412,85,2012
Hamilton,4140,1412,881,13,2012
Harlan,1566,624,315,3,2012
Hayes,572,106,85,0,2012
Hitchcock,1234,451,336,2,2012
Holt,4944,1420,715,10,2012
Hooker,457,95,53,0,2012
Howard,2276,1520,590,5,2012
Jefferson,2696,1580,887,8,2012
Johnson,1531,969,392,3,2012
Kearney,2782,1010,637,12,2012
Keith,3971,1311,1099,12,2012
Keya Paha,528,92,31,1,2012
Kimball,2001,549,499,7,2012
Knox,3095,1839,830,2,2012
Lancaster,75762,66798,38710,584,2012
Lincoln,12708,6817,3935,57,2012
Logan,404,91,62,1,2012
Loup,390,72,41,0,2012
Madison,12558,5213,3612,46,2012
McPherson,289,70,21,1,2012
Merrick,3019,1159,655,7,2012
Morrill,2123,668,512,8,2012
Nance,1233,909,331,2,2012
Nemaha,2609,1485,790,10,2012
Nuckolls,1767,1010,447,2,2012
Otoe,5244,3118,2142,18,2012
Pawnee,1066,582,286,0,2012
Perkins,1304,414,283,1,2012
Phelps,4168,1250,870,13,2012
Pierce,3250,910,703,3,2012
Platte,11232,5269,2922,46,2012
Polk,2188,839,444,4,2012
Red Willow,4348,1552,1391,18,2012
Richardson,3112,2121,894,15,2012
Rock,842,144,74,0,2012
Saline,2971,3573,1418,19,2012
Sarpy,46362,27893,24427,371,2012
Saunders,7479,4632,2325,15,2012
Scotts Bluff,12871,6616,4613,58,2012
Seward,5877,3113,1803,13,2012
Sheridan,2730,790,596,6,2012
Sherman,943,927,185,2,2012
Sioux,701,112,112,2,2012
Stanton,2470,814,514,7,2012
Thayer,2291,962,522,1,2012
Thomas,408,70,46,1,2012
Thurston,1317,2548,601,2,2012
Valley,1854,881,337,5,2012
Washington,7738,3500,2803,29,2012
Wayne,3302,1150,823,10,2012
Webster,1487,713,363,4,2012
Wheeler,444,153,54,3,2012
York,6922,2025,1460,20,2012
Antelope,3069,923,554,4,2014
Arthur,273,41,11,0,2014
Banner,441,36,53,4,2014
Blaine,300,45,30,1,2014
Boone,2380,1022,407,5,2014
Box Butte,4102,2009,1365,36,2014
Boyd,1067,270,129,4,2014
Brown,1661,298,188,2,2014
Buffalo,16335,6265,5232,175,2014
Burt,2444,1532,867,15,2014
Butler,3031,1774,885,12,2014
Cass,8162,4735,3853,90,2014
Cedar,3273,1739,889,11,2014
Chase,1841,415,280,4,2014
Cherry,3156,655,498,3,2014
Cheyenne,4200,1346,1406,37,2014
Clay,2701,900,623,13,2014
Colfax,2260,2085,620,15,2014
Cuming,3588,1322,852,11,2014
